duracion_dias,monto_pagado,infracciones_previas,tipo_vehiculo,zona_circulacion
10.0,74865.27,2,Camion,Zona B
11.0,8520.16,1,Bicicleta,Zona C
15.0,50458.25,3,Coche,Zona A
19.0,5791.17,0,Monopatin,Zona C
16.0,101099.66,2,Furgoneta,Zona B
22.0,51734.24,1,Coche,Zona A
21.0,27855.18,0,Coche,Zona B
28.0,10237.67,4,Bicicleta,Zona D
20.0,80351.94,1,Furgoneta,Zona C
12.0,34542.5,3,Furgoneta,Zona C
18.0,5464.42,2,Monopatin,Zona B
23.0,89242.98,0,Furgoneta,Zona D
13.0,107094.73,1,Camion,Zona A
5.0,7525.19,0,Bicicleta,Zona A
4.0,65713.64,1,Furgoneta,Zona C
28.0,5624.19,1,Monopatin,Zona B
14.0,125039.69,2,Camion,Zona B
8.0,18188.28,0,Moto,Zona A
9.0,37134.78,1,Moto,Zona D
25.0,96031.09,0,Camion,Zona D
19.0,1000.0,0,Monopatin,Zona A
3.0,103055.73,2,Camion,Zona A
5.0,10474.25,0,Bicicleta,Zona B
21.0,7504.32,0,Bicicleta,Zona D
26.0,12739.15,0,Moto,Zona A
18.0,55325.81,0,Furgoneta,Zona A
1.0,3378.52,0,Monopatin,Zona C
8.0,20685.35,1,Moto,Zona B
19.0,73719.08,1,Furgoneta,Zona A
15.0,91852.51,0,Furgoneta,Zona D
17.0,8308.25,0,Bicicleta,Zona B
11.0,52646.06,0,Coche,Zona D
2.0,76690.3,1,Coche,Zona B
6.0,150989.86,0,Camion,Zona C
22.0,9854.73,0,Bicicleta,Zona B
14.0,36484.11,0,Furgoneta,Zona C
3.0,3872.29,0,Monopatin,Zona B
12.0,26044.64,1,Coche,Zona D
4.0,61542.73,0,Furgoneta,Zona D
12.0,61923.0,0,Coche,Zona C
13.0,44107.57,0,Coche,Zona B
2.0,66086.62,4,Coche,Zona C
2.0,6039.7,1,Monopatin,Zona C
15.0,8121.09,0,Bicicleta,Zona A
23.0,6644.07,0,Monopatin,Zona C
15.0,35233.12,2,Moto,Zona A
17.0,90905.29,0,Furgoneta,Zona A
7.0,8551.92,5,Bicicleta,Zona D
15.0,9520.09,0,Bicicleta,Zona A
14.0,4624.19,0,Bicicleta,Zona A
12.0,7717.83,1,Bicicleta,Zona D
17.0,4964.01,1,Monopatin,Zona C
14.0,7115.01,5,Bicicleta,Zona B
6.0,91578.15,2,Camion,Zona B
19.0,103953.09,0,Furgoneta,Zona B
24.0,8408.14,1,Bicicleta,Zona C
6.0,79645.365,2,Furgoneta,Zona A
27.0,171284.88,1,Camion,Zona B
18.0,112968.18,0,Camion,Zona C
24.0,70669.3,0,Furgoneta,Zona A
5.0,70419.4,0,Coche,Zona D
24.0,13819.45,2,Moto,Zona B
24.0,50767.87,0,Coche,Zona A
6.0,38935.36,0,Coche,Zona B
15.0,5439.02,2,Monopatin,Zona B
8.0,58579.47,0,Coche,Zona B
15.0,9506.22,1,Bicicleta,Zona A
15.0,6539.36,3,Monopatin,Zona C
11.0,4621.21,0,Monopatin,Zona A
22.0,113152.03,0,Camion,Zona B
22.0,57899.03,0,Coche,Zona A
24.0,151950.06,1,Camion,Zona D
1.0,48792.71,1,Furgoneta,Zona C
18.0,27355.91,0,Moto,Zona A
12.0,4407.13,0,Monopatin,Zona D
12.0,82091.66,1,Furgoneta,Zona C
25.0,71439.47,0,Furgoneta,Zona D
15.0,6265.41,2,Bicicleta,Zona C
28.0,17361.08,1,Moto,Zona A
8.0,76375.42,1,Furgoneta,Zona D
28.0,88601.74,3,Furgoneta,Zona B
7.0,20477.44,0,Moto,Zona D
23.0,33923.59,0,Moto,Zona B
21.0,139002.81,1,Furgoneta,Zona A
2.0,28098.44,0,Moto,Zona C
11.0,79010.35,1,Furgoneta,Zona D
22.0,58105.69,5,Furgoneta,Zona D
10.0,8888.14,3,Bicicleta,Zona B
3.0,72157.64,1,Coche,Zona A
20.0,126763.51,3,Furgoneta,Zona A
29.0,170261.61,0,Camion,Zona D
10.0,6264.96,0,Monopatin,Zona A
28.0,56152.9,0,Coche,Zona B
27.0,34269.98,0,Coche,Zona C
18.0,49002.16,0,Coche,Zona A
14.0,7481.89,3,Bicicleta,Zona D
18.0,77763.1,2,Furgoneta,Zona C
28.0,6273.41,1,Bicicleta,Zona C
24.0,98188.69,0,Furgoneta,Zona B
8.0,7342.72,0,Bicicleta,Zona D
10.0,7147.93,3,Bicicleta,Zona A
22.0,3925.96,1,Monopatin,Zona B
13.0,128362.8,1,Camion,Zona C
21.0,11592.26,3,Bicicleta,Zona D
8.0,4984.69,1,Monopatin,Zona A
4.0,27113.05,1,Moto,Zona A
27.0,189669.38,0,Camion,Zona B
4.0,10888.26,0,Bicicleta,Zona A
5.0,58816.17,1,Coche,Zona A
1.0,29092.73,0,Moto,Zona D
17.0,20477.01,1,Moto,Zona D
2.0,3948.7,0,Monopatin,Zona C
8.0,26060.56,0,Moto,Zona B
15.0,126003.87,0,Camion,Zona D
15.0,5960.56,0,Bicicleta,Zona A
26.0,9687.91,3,Bicicleta,Zona C
25.0,45840.53,0,Coche,Zona D
5.0,6690.98,1,Monopatin,Zona B
2.0,49168.87,0,Coche,Zona B
7.0,23920.6,0,Moto,Zona C
8.0,35939.05,0,Coche,Zona C
28.0,90197.05,3,Camion,Zona C
7.0,11162.63,0,Bicicleta,Zona C
7.0,27017.23,2,Moto,Zona C
28.0,55839.54,0,Coche,Zona A
14.0,7400.97,0,Monopatin,Zona A
21.0,72566.81,2,Camion,Zona D
18.0,144165.21,1,Camion,Zona B
6.0,26181.64,1,Coche,Zona A
4.0,6949.64,0,Bicicleta,Zona A
10.0,32823.69,0,Coche,Zona A
18.0,31439.43,0,Moto,Zona D
12.0,21654.1,2,Coche,Zona C
16.0,111716.96,0,Camion,Zona D
25.0,32618.45,3,Coche,Zona B
7.0,5948.46,0,Bicicleta,Zona B
6.0,3948.93,1,Monopatin,Zona B
28.0,111658.51,0,Furgoneta,Zona B
15.0,44971.56,0,Coche,Zona A
3.0,12145.58,0,Bicicleta,Zona A
12.0,12647.81,0,Bicicleta,Zona D
10.0,117884.39,1,Camion,Zona B
26.0,8504.86,1,Bicicleta,Zona D
20.0,8907.09,0,Bicicleta,Zona A
19.0,7118.03,3,Coche,Zona A
16.0,9018.49,0,Bicicleta,Zona C
28.0,17986.03,2,Moto,Zona C
11.0,10933.93,0,Moto,Zona C
8.0,145708.85,0,Camion,Zona D
3.0,44753.4,5,Coche,Zona A
23.0,5655.94,0,Bicicleta,Zona A
7.0,3724.66,3,Monopatin,Zona C
23.0,72726.83,0,Coche,Zona B
29.0,5696.17,1,Monopatin,Zona C
7.0,27165.39,2,Coche,Zona D
14.0,77268.49,1,Camion,Zona C
2.0,7299.49,1,Bicicleta,Zona C
10.0,9143.38,0,Bicicleta,Zona D
19.0,60930.29,0,Furgoneta,Zona C
26.0,4740.58,0,Monopatin,Zona A
9.0,51718.27,0,Coche,Zona B
16.0,52029.03,2,Coche,Zona C
19.0,7036.48,0,Moto,Zona D
18.0,85319.39,1,Furgoneta,Zona B
9.0,12003.55,2,Moto,Zona D
15.0,22852.01,0,Moto,Zona B
13.0,21239.39,3,Moto,Zona B
10.0,3381.9,4,Monopatin,Zona C
25.0,6264.75,0,Monopatin,Zona A
20.0,79536.87,0,Camion,Zona C
14.0,101174.27,0,Camion,Zona D
12.0,31590.51,2,Moto,Zona B
25.0,66763.99,0,Furgoneta,Zona B
19.0,38622.35,1,Coche,Zona B
7.0,4597.77,0,Monopatin,Zona A
23.0,92972.06,2,Furgoneta,Zona C
15.0,11471.14,2,Bicicleta,Zona D
16.0,3595.82,4,Monopatin,Zona B
27.0,3717.38,0,Monopatin,Zona A
8.0,110051.93,0,Camion,Zona D
10.0,53452.11,0,Coche,Zona B
4.0,38446.3,0,Coche,Zona D
19.0,9652.55,0,Bicicleta,Zona A
19.0,5798.53,4,Bicicleta,Zona A
28.0,4917.81,2,Monopatin,Zona D
21.0,28988.31,0,Moto,Zona C
27.0,143313.22,2,Camion,Zona D
15.0,157607.42,0,Coche,Zona B
14.0,2012.15,0,Monopatin,Zona C
15.0,64025.24,2,Furgoneta,Zona B
16.0,23117.06,4,Moto,Zona D
10.0,7635.44,0,Monopatin,Zona B
19.0,23805.99,2,Moto,Zona B
22.0,14901.12,2,Moto,Zona D
3.0,27225.55,0,Moto,Zona D
5.0,6964.18,0,Monopatin,Zona C
9.0,159479.0,1,Camion,Zona B
18.0,140224.73,2,Camion,Zona A
11.0,26969.74,0,Moto,Zona B
15.0,25573.94,0,Furgoneta,Zona B
2.0,50385.0,1,Coche,Zona D
15.0,5267.21,1,Monopatin,Zona D
15.0,47601.35,1,Coche,Zona A
6.0,96970.4,0,Furgoneta,Zona C
11.0,4736.0,2,Coche,Zona D
27.0,22235.78,1,Moto,Zona D
15.0,157403.92,2,Camion,Zona D
12.0,43796.17,3,Coche,Zona D
29.0,8155.17,2,Bicicleta,Zona B
27.0,10154.08,4,Bicicleta,Zona D
2.0,55743.95,4,Furgoneta,Zona B
15.0,16606.1,1,Moto,Zona D
15.0,70369.1,1,Coche,Zona C
15.0,20554.66,1,Moto,Zona A
29.0,60386.49,1,Coche,Zona C
1.0,37392.3,0,Furgoneta,Zona D
10.0,19926.76,0,Furgoneta,Zona D
2.0,8874.15,0,Bicicleta,Zona D
12.0,24043.6,0,Moto,Zona C
23.0,5560.45,0,Monopatin,Zona D
8.0,12499.3,3,Bicicleta,Zona C
5.0,15719.94,0,Moto,Zona B
22.0,8091.65,0,Bicicleta,Zona A
28.0,7216.2,1,Monopatin,Zona A
1.0,80652.36,0,Camion,Zona C
15.0,98949.83,2,Camion,Zona B
6.0,56377.73,0,Camion,Zona C
12.0,200562.57,0,Camion,Zona B
8.0,16931.89,2,Coche,Zona D
13.0,148749.09,1,Camion,Zona B
19.0,3020.3,3,Monopatin,Zona B
27.0,54778.59,0,Furgoneta,Zona B
1.0,105534.89,0,Furgoneta,Zona A
11.0,38862.34,1,Coche,Zona B
20.0,143464.35,0,Camion,Zona D
15.0,169681.14,0,Camion,Zona D
8.0,127225.09,0,Camion,Zona D
5.0,10134.29,2,Coche,Zona B
17.0,25605.05,1,Moto,Zona C
8.0,8304.81,0,Bicicleta,Zona C
25.0,20238.03,0,Moto,Zona D
10.0,189438.94,4,Camion,Zona A
2.0,146742.4,0,Camion,Zona C
9.0,9252.33,1,Bicicleta,Zona B
24.0,9848.71,1,Coche,Zona C
23.0,19920.32,1,Moto,Zona D
3.0,102343.33,0,Furgoneta,Zona A
18.0,36669.11,3,Moto,Zona C
7.0,4686.33,0,Coche,Zona C
15.0,5812.34,0,Monopatin,Zona D
21.0,8150.7,0,Bicicleta,Zona A
22.0,4221.22,0,Monopatin,Zona A
20.0,33601.16,0,Coche,Zona D
18.0,10524.61,3,Bicicleta,Zona B
25.0,53119.84,0,Coche,Zona C
3.0,75028.88,3,Furgoneta,Zona B
28.0,29067.87,0,Moto,Zona C
23.0,4808.78,0,Monopatin,Zona C
14.0,19719.46,0,Moto,Zona B
24.0,51934.28,1,Coche,Zona D
2.0,4957.99,1,Monopatin,Zona D
14.0,11693.59,3,Moto,Zona C
22.0,6489.04,1,Bicicleta,Zona D
11.0,74481.78,0,Camion,Zona C
16.0,25228.97,0,Coche,Zona D
8.0,28507.75,3,Moto,Zona C
7.0,39968.5,3,Coche,Zona B
11.0,65621.09,0,Coche,Zona B
3.0,2257.11,0,Monopatin,Zona B
17.0,4553.37,1,Monopatin,Zona A
14.0,97826.65,2,Coche,Zona B
6.0,4212.88,1,Bicicleta,Zona B
8.0,50076.31,0,Coche,Zona C
22.0,13820.02,2,Moto,Zona B
5.0,85345.18,0,Furgoneta,Zona A
27.0,60811.38,0,Coche,Zona A
28.0,54013.3,0,Coche,Zona D
8.0,134179.81,0,Camion,Zona A
2.0,10474.96,4,Bicicleta,Zona D
15.0,79357.68,1,Furgoneta,Zona B
12.0,3760.96,2,Monopatin,Zona A
15.0,4086.57,0,Monopatin,Zona B
1.0,20594.69,2,Moto,Zona A
15.0,54959.87,1,Furgoneta,Zona A
14.0,6176.32,0,Monopatin,Zona D
15.0,28951.77,3,Moto,Zona B
22.0,8053.719999999999,0,Bicicleta,Zona A
16.0,18802.57,0,Moto,Zona C
29.0,3362.02,0,Monopatin,Zona B
9.0,131424.46,0,Camion,Zona B
1.0,158754.34,0,Camion,Zona B
28.0,136134.7,2,Coche,Zona D
17.0,3948.21,0,Coche,Zona C
15.0,108516.78,0,Coche,Zona B
13.0,46571.57,1,Furgoneta,Zona A
21.0,4841.21,0,Bicicleta,Zona A
26.0,31345.37,2,Moto,Zona D
21.0,35830.84,3,Moto,Zona A
5.0,3927.85,0,Monopatin,Zona B
10.0,121732.28,1,Camion,Zona A
6.0,145938.86,0,Camion,Zona B
24.0,25042.37,1,Coche,Zona A
19.0,5483.15,0,Bicicleta,Zona C
15.0,127847.25,0,Furgoneta,Zona D
13.0,17817.13,0,Moto,Zona D
1.0,44572.49,1,Coche,Zona C
20.0,40955.98,0,Coche,Zona C
25.0,2007.83,0,Monopatin,Zona D
15.0,25620.42,5,Moto,Zona C
14.0,4962.12,0,Monopatin,Zona B
15.0,84340.43,1,Furgoneta,Zona A
10.0,48731.37,0,Coche,Zona B
15.0,43102.09,2,Coche,Zona C
17.0,6758.55,0,Bicicleta,Zona B
9.0,67995.78,0,Furgoneta,Zona D
3.0,35169.65,1,Coche,Zona B
11.0,59988.69,2,Furgoneta,Zona D
12.0,17710.65,2,Moto,Zona C
10.0,140642.78,0,Camion,Zona D
25.0,54591.54,2,Coche,Zona B
17.0,8065.12,1,Bicicleta,Zona B
17.0,39566.99,5,Moto,Zona A
25.0,57783.31,3,Furgoneta,Zona D
15.0,6678.17,1,Monopatin,Zona A
22.0,23049.77,1,Moto,Zona D
4.0,52357.47,1,Coche,Zona C
7.0,96107.27,1,Furgoneta,Zona C
21.0,102808.68,0,Camion,Zona A
26.0,17074.77,0,Moto,Zona D
14.0,36623.36,0,Coche,Zona A
7.0,2944.92,4,Bicicleta,Zona B
24.0,5910.19,0,Monopatin,Zona A
8.0,93985.75,0,Furgoneta,Zona A
1.0,36877.38,0,Moto,Zona C
24.0,28111.97,1,Moto,Zona A
22.0,143588.09,4,Camion,Zona D
4.0,117064.33,1,Camion,Zona C
29.0,9115.71,0,Bicicleta,Zona A
12.0,6634.39,3,Coche,Zona B
24.0,8435.53,0,Coche,Zona A
3.0,42181.53,4,Coche,Zona A
13.0,46696.61,0,Coche,Zona A
20.0,9804.47,2,Coche,Zona C
6.0,4263.1,0,Monopatin,Zona D
15.0,10133.76,3,Bicicleta,Zona B
23.0,7862.9,0,Monopatin,Zona A
15.0,6352.19,0,Monopatin,Zona D
20.0,97931.26,3,Furgoneta,Zona D
16.0,5521.45,0,Monopatin,Zona C
7.0,92032.7,2,Camion,Zona B
22.0,3698.63,1,Monopatin,Zona C
29.0,3683.57,1,Monopatin,Zona D
11.0,5832.1,0,Monopatin,Zona D
15.0,44158.06,3,Coche,Zona D
1.0,118956.27,3,Camion,Zona C
26.0,135071.63,0,Camion,Zona B
29.0,5982.99,0,Bicicleta,Zona A
27.0,67953.83,0,Furgoneta,Zona C
12.0,22818.6,1,Moto,Zona C
7.0,75261.18,2,Furgoneta,Zona D
27.0,55216.28,2,Furgoneta,Zona A
15.0,113379.19,2,Camion,Zona A
7.0,119652.08,0,Furgoneta,Zona B
10.0,4330.47,0,Monopatin,Zona D
16.0,3279.48,2,Monopatin,Zona B
26.0,64372.04,2,Coche,Zona B
8.0,5785.03,1,Monopatin,Zona A
9.0,5318.93,0,Monopatin,Zona C
9.0,72528.89,1,Camion,Zona C
2.0,3235.08,0,Monopatin,Zona B
13.0,26940.22,0,Coche,Zona A
13.0,28236.49,1,Moto,Zona B
23.0,156715.28,0,Camion,Zona C
23.0,28489.51,3,Moto,Zona B
4.0,190196.49,0,Camion,Zona C
25.0,6939.43,1,Bicicleta,Zona C
15.0,72231.93,2,Furgoneta,Zona D
12.0,8255.75,0,Bicicleta,Zona A
17.0,4655.75,2,Monopatin,Zona D
2.0,28740.33,1,Moto,Zona A
15.0,4040.57,3,Monopatin,Zona C
29.0,46526.62,0,Furgoneta,Zona B
18.0,55583.74,0,Camion,Zona D
28.0,91532.3,0,Furgoneta,Zona A
28.0,42111.33,2,Coche,Zona C
15.0,40714.11,0,Coche,Zona A
8.0,126860.77,0,Furgoneta,Zona A
15.0,33336.6,0,Coche,Zona C
1.0,30453.94,1,Moto,Zona B
20.0,5631.64,0,Monopatin,Zona B
10.0,7012.15,0,Monopatin,Zona B
12.0,7704.58,0,Bicicleta,Zona A
5.0,2659.48,1,Monopatin,Zona C
9.0,155731.63,3,Camion,Zona A
23.0,74004.26,1,Furgoneta,Zona B
8.0,11058.71,0,Bicicleta,Zona B
15.0,149374.88,0,Camion,Zona C
14.0,155851.31,0,Camion,Zona A
27.0,85527.23,1,Coche,Zona D
25.0,5423.0,0,Monopatin,Zona D
13.0,35821.41,3,Moto,Zona B
23.0,21963.66,3,Moto,Zona C
21.0,9297.71,0,Bicicleta,Zona A
13.0,21232.97,0,Moto,Zona A
5.0,91501.76,0,Furgoneta,Zona B
16.0,27811.04,0,Moto,Zona B
26.0,3054.64,1,Bicicleta,Zona B
11.0,20412.04,2,Moto,Zona A
22.0,85527.58,0,Furgoneta,Zona B
5.0,16139.11,2,Coche,Zona A
13.0,7769.97,1,Bicicleta,Zona D
28.0,65127.05,5,Coche,Zona B
11.0,69503.7,1,Coche,Zona A
25.0,38263.33,1,Coche,Zona B
15.0,169118.62,0,Camion,Zona C
3.0,6812.17,2,Monopatin,Zona B
15.0,42675.93,0,Coche,Zona B
7.0,5173.69,1,Monopatin,Zona C
7.0,53396.44,0,Coche,Zona D
6.0,11645.11,0,Bicicleta,Zona A
3.0,5429.58,0,Monopatin,Zona C
13.0,113449.54,0,Furgoneta,Zona B
7.0,61261.24,0,Furgoneta,Zona A
5.0,13014.63,5,Moto,Zona C
23.0,4028.24,0,Monopatin,Zona A
18.0,11784.77,2,Bicicleta,Zona A
22.0,153333.1,0,Camion,Zona C
8.0,84836.92,0,Coche,Zona A
17.0,14175.03,0,Moto,Zona D
20.0,104991.73,0,Furgoneta,Zona C
27.0,147175.18,0,Camion,Zona D
15.0,109728.6,0,Camion,Zona B
14.0,61638.91,0,Coche,Zona A
17.0,5209.95,3,Monopatin,Zona B
10.0,91047.38,0,Furgoneta,Zona B
12.0,9633.32,2,Bicicleta,Zona A
16.0,155283.93,4,Camion,Zona C
14.0,51302.17,1,Coche,Zona A
27.0,12265.61,3,Bicicleta,Zona B
16.0,4676.41,0,Monopatin,Zona B
8.0,125210.18,2,Furgoneta,Zona C
23.0,3308.23,0,Monopatin,Zona A
15.0,84537.86,0,Camion,Zona B
10.0,5776.38,1,Bicicleta,Zona D
29.0,10296.47,3,Bicicleta,Zona B
17.0,8053.719999999999,3,Bicicleta,Zona B
27.0,173644.51,0,Camion,Zona C
29.0,101046.95,0,Camion,Zona D
18.0,5598.93,2,Monopatin,Zona B
20.0,29800.66,1,Moto,Zona B
16.0,3476.38,0,Monopatin,Zona D
15.0,46621.44,0,Furgoneta,Zona A
16.0,54243.25,2,Coche,Zona A
19.0,7334.62,1,Bicicleta,Zona B
24.0,28738.37,0,Moto,Zona B
24.0,29815.13,1,Coche,Zona A
8.0,22324.32,1,Moto,Zona C
6.0,4727.24,3,Monopatin,Zona D
6.0,32251.09,1,Camion,Zona D
21.0,10389.1,0,Bicicleta,Zona C
29.0,3863.84,2,Monopatin,Zona C
9.0,72487.42,0,Coche,Zona C
4.0,39607.54,3,Coche,Zona C
26.0,42180.1,1,Coche,Zona C
12.0,31371.32,4,Coche,Zona C
28.0,67199.19,0,Coche,Zona D
12.0,28406.21,1,Moto,Zona C
15.0,7100.2,2,Monopatin,Zona A
17.0,7502.36,1,Bicicleta,Zona C
15.0,118498.23,0,Camion,Zona C
9.0,59447.52,0,Camion,Zona D
7.0,4063.93,1,Monopatin,Zona D
10.0,5255.75,0,Monopatin,Zona C
16.0,133939.23,1,Camion,Zona D
12.0,185661.75,0,Coche,Zona B
25.0,11117.9,2,Moto,Zona D
7.0,85506.91,0,Furgoneta,Zona D
18.0,7097.03,0,Bicicleta,Zona D
15.0,51132.55,0,Coche,Zona D
6.0,82465.19,1,Furgoneta,Zona A
26.0,4713.22,1,Monopatin,Zona A
12.0,79208.11,1,Camion,Zona A
11.0,48349.35,2,Furgoneta,Zona C
20.0,7364.21,0,Bicicleta,Zona C
3.0,2869.07,5,Monopatin,Zona B
15.0,48306.44,4,Coche,Zona A
6.0,46199.46,0,Coche,Zona C
24.0,2119.92,3,Bicicleta,Zona D
22.0,12640.67,1,Bicicleta,Zona D
25.0,122781.28,1,Camion,Zona A
5.0,13439.15,1,Coche,Zona B
18.0,5370.7,2,Coche,Zona B
16.0,75118.66,4,Furgoneta,Zona D
8.0,3023.35,1,Monopatin,Zona B
25.0,27319.77,0,Moto,Zona A
26.0,17933.85,1,Moto,Zona D
20.0,8463.28,0,Bicicleta,Zona C
22.0,94745.65,1,Camion,Zona C
11.0,18208.16,2,Moto,Zona B
10.0,49766.99,0,Coche,Zona D
24.0,2566.86,0,Monopatin,Zona D
25.0,4876.19,1,Monopatin,Zona C
12.0,9577.41,0,Bicicleta,Zona D
21.0,110494.66,0,Furgoneta,Zona D
28.0,10612.56,1,Bicicleta,Zona D
15.0,112479.93,4,Furgoneta,Zona B
15.0,6908.69,1,Bicicleta,Zona D
20.0,5540.87,0,Bicicleta,Zona A
5.0,9956.86,1,Bicicleta,Zona B
23.0,67594.56,0,Furgoneta,Zona D
9.0,80150.29,2,Furgoneta,Zona B
26.0,9792.48,1,Bicicleta,Zona A
15.0,40158.23,4,Moto,Zona B
29.0,139036.82,4,Camion,Zona C
16.0,127383.71,0,Camion,Zona C
22.0,79640.01,5,Camion,Zona B
14.0,108064.53,4,Furgoneta,Zona D
22.0,79645.365,1,Furgoneta,Zona D
8.0,22396.44,0,Moto,Zona C
27.0,103784.94,2,Camion,Zona C
20.0,105352.95,0,Camion,Zona C
19.0,8105.52,1,Bicicleta,Zona A
14.0,44983.83,0,Furgoneta,Zona C
7.0,163848.82,1,Camion,Zona A
5.0,6552.01,4,Monopatin,Zona B
18.0,23743.84,0,Moto,Zona D
2.0,4393.03,2,Monopatin,Zona C
11.0,4965.23,0,Monopatin,Zona D
22.0,26099.21,1,Moto,Zona D
8.0,4549.85,1,Monopatin,Zona C
1.0,155967.06,0,Camion,Zona C
27.0,45821.4,1,Furgoneta,Zona B
22.0,19660.48,2,Moto,Zona A
12.0,9860.58,0,Bicicleta,Zona A
2.0,5486.41,1,Monopatin,Zona D
18.0,19903.44,1,Moto,Zona C
7.0,56007.03,0,Coche,Zona B
15.0,38105.59,3,Coche,Zona B
17.0,72557.22,1,Furgoneta,Zona B
22.0,157573.88,0,Camion,Zona B
23.0,102394.01,0,Furgoneta,Zona B
15.0,86917.68,0,Furgoneta,Zona A
24.0,54772.42,1,Furgoneta,Zona A
7.0,70936.28,1,Furgoneta,Zona A
22.0,8231.52,1,Bicicleta,Zona C
25.0,11493.01,2,Bicicleta,Zona D
29.0,11632.23,0,Moto,Zona B
3.0,36917.84,1,Coche,Zona C
27.0,107086.48,5,Furgoneta,Zona B
6.0,35201.25,4,Moto,Zona A
20.0,48954.29,0,Coche,Zona C
2.0,7307.6,1,Monopatin,Zona A
17.0,93598.64,0,Camion,Zona B
12.0,4377.83,0,Bicicleta,Zona B
12.0,6185.35,2,Monopatin,Zona D
17.0,69420.57,0,Coche,Zona B
27.0,6917.04,0,Monopatin,Zona A
10.0,88915.99,2,Camion,Zona B
3.0,52990.7,3,Coche,Zona D
20.0,6259.73,3,Monopatin,Zona D
18.0,8722.35,1,Bicicleta,Zona A
13.0,11471.26,0,Coche,Zona C
12.0,21962.16,0,Moto,Zona B
27.0,4894.08,2,Monopatin,Zona D
27.0,85668.57,4,Furgoneta,Zona B
27.0,6248.83,3,Monopatin,Zona B
17.0,47083.1,2,Coche,Zona C
4.0,63911.51,0,Coche,Zona D
23.0,7406.94,0,Monopatin,Zona B
10.0,101349.44,0,Camion,Zona D
11.0,7604.82,3,Bicicleta,Zona A
6.0,64516.39,0,Coche,Zona A
6.0,12626.07,1,Bicicleta,Zona B
27.0,59539.39,0,Coche,Zona D
15.0,19103.23,1,Moto,Zona B
15.0,84756.13,2,Furgoneta,Zona D
2.0,64402.9,1,Coche,Zona D
4.0,6049.84,2,Bicicleta,Zona C
5.0,16912.15,1,Moto,Zona C
17.0,44825.25,0,Coche,Zona C
8.0,143746.81,0,Camion,Zona B
8.0,47138.86,4,Furgoneta,Zona C
22.0,39603.82,0,Coche,Zona C
12.0,27052.45,0,Moto,Zona A
21.0,159258.68,0,Coche,Zona D
15.0,5435.32,0,Monopatin,Zona D
19.0,27810.14,0,Moto,Zona C
15.0,32536.91,1,Moto,Zona D
15.0,177501.28,5,Camion,Zona A
21.0,36141.34,2,Moto,Zona A
19.0,46510.98,0,Camion,Zona C
19.0,51470.87,1,Coche,Zona A
15.0,152850.57,2,Camion,Zona D
15.0,181192.32,3,Camion,Zona B
16.0,95383.68,0,Furgoneta,Zona D
8.0,89069.29,0,Camion,Zona B
16.0,93827.54,2,Camion,Zona C
18.0,3951.45,2,Monopatin,Zona B
20.0,54612.78,1,Coche,Zona A
16.0,68484.27,0,Furgoneta,Zona D
11.0,1000.0,1,Monopatin,Zona B
15.0,5172.11,0,Bicicleta,Zona D
17.0,43336.26,0,Coche,Zona C
17.0,29562.76,0,Coche,Zona C
12.0,5087.53,0,Bicicleta,Zona A
13.0,193834.94,0,Camion,Zona C
10.0,4987.07,0,Monopatin,Zona B
7.0,22104.14,0,Moto,Zona C
14.0,96016.24,0,Furgoneta,Zona A
1.0,13377.48,0,Bicicleta,Zona D
17.0,75580.6,0,Coche,Zona C
4.0,56522.13,0,Coche,Zona B
21.0,43212.61,0,Coche,Zona A
15.0,34962.76,0,Coche,Zona B
20.0,43972.12,0,Coche,Zona A
24.0,92157.52,2,Furgoneta,Zona C
23.0,5141.47,1,Monopatin,Zona A
25.0,2790.46,2,Monopatin,Zona A
7.0,40357.98,1,Furgoneta,Zona C
10.0,8621.62,3,Bicicleta,Zona B
17.0,51800.61,0,Coche,Zona C
29.0,46851.85,1,Coche,Zona A
7.0,9159.02,1,Bicicleta,Zona C
1.0,6870.22,3,Monopatin,Zona A
7.0,131162.48,0,Camion,Zona C
15.0,86100.59,2,Camion,Zona D
15.0,188947.91,1,Camion,Zona D
11.0,4735.54,1,Monopatin,Zona C
9.0,5075.0,3,Monopatin,Zona B
12.0,6431.22,5,Bicicleta,Zona A
3.0,33883.8,1,Coche,Zona D
4.0,5616.81,0,Bicicleta,Zona B
4.0,5089.29,0,Bicicleta,Zona A
15.0,1000.0,0,Monopatin,Zona D
25.0,114374.65,0,Camion,Zona D
13.0,33267.62,0,Moto,Zona C
23.0,35235.31,1,Coche,Zona A
15.0,8839.23,2,Coche,Zona B
10.0,169909.6,0,Camion,Zona B
5.0,24863.32,1,Moto,Zona B
7.0,16666.89,0,Moto,Zona A
24.0,2604.35,3,Monopatin,Zona B
16.0,77271.59,0,Furgoneta,Zona B
1.0,51021.81,1,Coche,Zona B
12.0,23467.1,4,Moto,Zona C
2.0,6603.98,0,Monopatin,Zona C
7.0,7245.62,1,Monopatin,Zona A
11.0,137016.26,3,Camion,Zona A
29.0,92635.18,0,Furgoneta,Zona B
13.0,45266.67,5,Coche,Zona C
2.0,7988.2,2,Bicicleta,Zona D
7.0,134818.8,0,Camion,Zona D
15.0,22624.46,0,Moto,Zona B
25.0,25573.595,1,Moto,Zona B
11.0,119417.185,3,Camion,Zona C
